booking_id,property_id,booking_date,check_in_date,checkout_date,no_guests,room_category,booking_platform,ratings_given,booking_status,revenue_generated,revenue_realized
May012216559RT16,16559,2022-04-11,2022-05-01,2022-05-02,2,RT1,tripster,,"Checked Out",11050,11050
May012216559RT17,16559,2022-04-30,2022-05-01,2022-05-02,2,RT1,others,,"Checked Out",11050,11050
May012216559RT19,16559,2022-04-29,2022-05-01,2022-05-02,1,RT1,others,5.0,"Checked Out",11050,11050
May012216559RT110,16559,2022-04-27,2022-05-01,2022-05-06,2,RT1,others,5.0,"Checked Out",11050,11050
May012216559RT111,16559,2022-04-28,2022-05-01,2022-05-02,2,RT1,makeyourtrip,,"Checked Out",11050,11050
May012216559RT112,16559,2022-04-11,2022-05-01,2022-05-06,1,RT1,journey,5.0,"Checked Out",11050,11050
May012216559RT114,16559,2022-04-10,2022-05-01,2022-05-07,1,RT1,logtrip,,"Checked Out",11050,11050
May012216559RT115,16559,2022-05-01,2022-05-01,2022-05-03,2,RT1,tripster,,"Checked Out",11050,11050
May012216559RT119,16559,2022-04-29,2022-05-01,2022-05-06,2,RT1,"direct offline",5.0,"Checked Out",11050,11050
May012216559RT120,16559,2022-04-27,2022-05-01,2022-05-02,2,RT1,makeyourtrip,5.0,"Checked Out",11050,11050
May012216559RT121,16559,2022-04-29,2022-05-01,2022-05-03,4,RT1,others,4.0,"Checked Out",13260,13260
May012216559RT122,16559,2022-04-27,2022-05-01,2022-05-06,2,RT1,makeyourtrip,,"Checked Out",11050,11050
May012216559RT125,16559,2022-04-29,2022-05-01,2022-05-04,2,RT1,logtrip,,"Checked Out",11050,11050
May012216559RT21,16559,2022-04-27,2022-05-01,2022-05-02,3,RT2,"direct offline",,"Checked Out",16830,16830
May012216559RT22,16559,2022-04-28,2022-05-01,2022-05-06,2,RT2,"direct online",3.0,"Checked Out",15300,15300
May012216559RT23,16559,2022-04-25,2022-05-01,2022-05-02,3,RT2,makeyourtrip,5.0,"Checked Out",16830,16830
May012216559RT24,16559,2022-04-26,2022-05-01,2022-05-02,1,RT2,journey,,"Checked Out",15300,15300
May012216559RT25,16559,2022-05-01,2022-05-01,2022-05-04,2,RT2,others,5.0,"Checked Out",15300,15300
May012216559RT26,16559,2022-04-29,2022-05-01,2022-05-07,2,RT2,others,,"Checked Out",15300,15300
May012216559RT28,16559,2022-04-28,2022-05-01,2022-05-03,2,RT2,journey,3.0,"Checked Out",15300,15300
May012216559RT29,16559,2022-04-25,2022-05-01,2022-05-05,3,RT2,makeyourtrip,5.0,"Checked Out",16830,16830
May012216559RT210,16559,2022-04-30,2022-05-01,2022-05-05,3,RT2,journey,,"Checked Out",16830,16830
May012216559RT211,16559,2022-04-25,2022-05-01,2022-05-03,4,RT2,"direct online",5.0,"Checked Out",18360,18360
May012216559RT213,16559,2022-04-27,2022-05-01,2022-05-02,1,RT2,logtrip,5.0,"Checked Out",15300,15300
May012216559RT214,16559,2022-04-29,2022-05-01,2022-05-06,2,RT2,makeyourtrip,1.0,"Checked Out",15300,15300
May012216559RT216,16559,2022-04-26,2022-05-01,2022-05-02,2,RT2,makeyourtrip,5.0,"Checked Out",15300,15300
May012216559RT217,16559,2022-04-28,2022-05-01,2022-05-03,4,RT2,logtrip,,"Checked Out",18360,18360
May012216559RT218,16559,2022-04-29,2022-05-01,2022-05-02,2,RT2,makeyourtrip,2.0,"Checked Out",15300,15300
May012216559RT221,16559,2022-04-25,2022-05-01,2022-05-02,2,RT2,others,3.0,"Checked Out",15300,15300
May012216559RT223,16559,2022-04-29,2022-05-01,2022-05-02,2,RT2,journey,,"Checked Out",15300,15300
May012216559RT224,16559,2022-04-28,2022-05-01,2022-05-03,1,RT2,makeyourtrip,1.0,"Checked Out",15300,15300
May012216559RT225,16559,2022-04-30,2022-05-01,2022-05-05,2,RT2,makeyourtrip,1.0,"Checked Out",15300,15300
May012216559RT226,16559,2022-04-29,2022-05-01,2022-05-02,4,RT2,others,5.0,"Checked Out",18360,18360
May012216559RT228,16559,2022-04-28,2022-05-01,2022-05-02,4,RT2,logtrip,5.0,"Checked Out",18360,18360
May012216559RT229,16559,2022-04-24,2022-05-01,2022-05-07,2,RT2,others,5.0,"Checked Out",15300,15300
May012216559RT230,16559,2022-04-24,2022-05-01,2022-05-02,2,RT2,tripster,,"Checked Out",15300,15300
May012216559RT231,16559,2022-04-29,2022-05-01,2022-05-03,2,RT2,others,,"Checked Out",15300,15300
May012216559RT232,16559,2022-05-01,2022-05-01,2022-05-05,1,RT2,others,,"Checked Out",15300,15300
May012216559RT233,16559,2022-04-27,2022-05-01,2022-05-03,2,RT2,others,4.0,"Checked Out",15300,15300
May012216559RT235,16559,2022-04-29,2022-05-01,2022-05-02,2,RT2,others,,"Checked Out",15300,15300
May012216559RT32,16559,2022-04-29,2022-05-01,2022-05-02,6,RT3,"direct online",,"Checked Out",28560,28560
May012216559RT34,16559,2022-04-10,2022-05-01,2022-05-02,6,RT3,logtrip,3.0,"Checked Out",28560,28560
May012216559RT35,16559,2022-04-27,2022-05-01,2022-05-03,3,RT3,tripster,,"Checked Out",22440,22440
May012216559RT36,16559,2022-04-29,2022-05-01,2022-05-04,3,RT3,others,4.0,"Checked Out",22440,22440
May012216559RT37,16559,2022-04-28,2022-05-01,2022-05-06,2,RT3,makeyourtrip,,"Checked Out",20400,20400
May012216559RT38,16559,2022-04-26,2022-05-01,2022-05-02,2,RT3,others,4.0,"Checked Out",20400,20400
May012216559RT39,16559,2022-04-28,2022-05-01,2022-05-03,2,RT3,makeyourtrip,3.0,"Checked Out",20400,20400
May012216559RT310,16559,2022-04-28,2022-05-01,2022-05-03,2,RT3,"direct offline",,"Checked Out",20400,20400
May012216559RT311,16559,2022-04-26,2022-05-01,2022-05-05,2,RT3,logtrip,5.0,"Checked Out",20400,20400
May012216559RT312,16559,2022-04-29,2022-05-01,2022-05-03,3,RT3,tripster,,"Checked Out",22440,22440
May012216559RT313,16559,2022-04-24,2022-05-01,2022-05-03,1,RT3,makeyourtrip,5.0,"Checked Out",20400,20400
May012216559RT314,16559,2022-04-26,2022-05-01,2022-05-02,2,RT3,"direct online",5.0,"Checked Out",20400,20400
May012216559RT315,16559,2022-04-25,2022-05-01,2022-05-02,2,RT3,"direct online",,"Checked Out",20400,20400
May012216559RT316,16559,2022-04-28,2022-05-01,2022-05-06,2,RT3,tripster,4.0,"Checked Out",20400,20400
May012216559RT318,16559,2022-04-10,2022-05-01,2022-05-02,2,RT3,"direct online",,"Checked Out",20400,20400
May012216559RT319,16559,2022-04-27,2022-05-01,2022-05-07,2,RT3,others,,"Checked Out",20400,20400
May012216559RT322,16559,2022-04-24,2022-05-01,2022-05-02,3,RT3,"direct offline",4.0,"Checked Out",22440,22440
May012216559RT323,16559,2022-04-28,2022-05-01,2022-05-07,2,RT3,makeyourtrip,2.0,"Checked Out",20400,20400
May012216559RT327,16559,2022-04-29,2022-05-01,2022-05-02,3,RT3,others,4.0,"Checked Out",22440,22440
May012216559RT41,16559,2022-04-27,2022-05-01,2022-05-07,4,RT4,others,,"Checked Out",38760,38760
May012216559RT43,16559,2022-05-01,2022-05-01,2022-05-02,6,RT4,tripster,3.0,"Checked Out",45220,45220
May012216559RT44,16559,2022-04-28,2022-05-01,2022-05-05,2,RT4,others,,"Checked Out",32300,32300
May012216559RT45,16559,2022-04-28,2022-05-01,2022-05-04,2,RT4,others,5.0,"Checked Out",32300,32300
May012216559RT47,16559,2022-04-28,2022-05-01,2022-05-03,3,RT4,others,5.0,"Checked Out",35530,35530
May012216559RT48,16559,2022-04-26,2022-05-01,2022-05-02,2,RT4,makeyourtrip,5.0,"Checked Out",32300,32300
May012216559RT49,16559,2022-04-28,2022-05-01,2022-05-03,2,RT4,others,,"Checked Out",32300,32300
May012216559RT411,16559,2022-04-28,2022-05-01,2022-05-07,2,RT4,makeyourtrip,,"Checked Out",32300,32300
May012216559RT413,16559,2022-04-24,2022-05-01,2022-05-07,5,RT4,logtrip,,"Checked Out",41990,41990
May012216559RT414,16559,2022-04-11,2022-05-01,2022-05-07,2,RT4,others,2.0,"Checked Out",32300,32300
May012216559RT415,16559,2022-04-28,2022-05-01,2022-05-02,2,RT4,others,5.0,"Checked Out",32300,32300
May012216560RT11,16560,2022-05-01,2022-05-01,2022-05-03,1,RT1,"direct offline",,"Checked Out",9100,9100
May012216560RT12,16560,2022-04-30,2022-05-01,2022-05-02,2,RT1,tripster,,"Checked Out",9100,9100
May012216560RT13,16560,2022-04-27,2022-05-01,2022-05-02,1,RT1,journey,3.0,"Checked Out",9100,9100
May012216560RT14,16560,2022-05-01,2022-05-01,2022-05-04,1,RT1,logtrip,1.0,"Checked Out",9100,9100
May012216560RT15,16560,2022-05-01,2022-05-01,2022-05-03,2,RT1,makeyourtrip,,"Checked Out",9100,9100
May012216560RT16,16560,2022-04-28,2022-05-01,2022-05-03,3,RT1,makeyourtrip,,"Checked Out",10010,10010
May012216560RT18,16560,2022-04-30,2022-05-01,2022-05-02,4,RT1,makeyourtrip,,"Checked Out",10920,10920
May012216560RT110,16560,2022-04-25,2022-05-01,2022-05-02,1,RT1,others,2.0,"Checked Out",9100,9100
May012216560RT111,16560,2022-05-01,2022-05-01,2022-05-02,1,RT1,others,,"Checked Out",9100,9100
May012216560RT112,16560,2022-04-30,2022-05-01,2022-05-05,2,RT1,journey,3.0,"Checked Out",9100,9100
May012216560RT113,16560,2022-04-29,2022-05-01,2022-05-02,1,RT1,"direct online",3.0,"Checked Out",9100,9100
May012216560RT114,16560,2022-04-29,2022-05-01,2022-05-02,4,RT1,others,4.0,"Checked Out",10920,10920
May012216560RT115,16560,2022-04-24,2022-05-01,2022-05-02,3,RT1,others,,"Checked Out",10010,10010
May012216560RT117,16560,2022-04-10,2022-05-01,2022-05-03,1,RT1,others,5.0,"Checked Out",9100,9100
May012216560RT118,16560,2022-04-30,2022-05-01,2022-05-02,1,RT1,"direct offline",,"Checked Out",9100,9100
May012216560RT119,16560,2022-04-30,2022-05-01,2022-05-03,3,RT1,others,,"Checked Out",10010,10010
May012216560RT121,16560,2022-04-26,2022-05-01,2022-05-02,1,RT1,"direct online",,"Checked Out",9100,9100
May012216560RT122,16560,2022-05-01,2022-05-01,2022-05-04,4,RT1,others,,"Checked Out",10920,10920
May012216560RT123,16560,2022-04-25,2022-05-01,2022-05-02,1,RT1,"direct online",,"Checked Out",9100,9100
May012216560RT124,16560,2022-05-01,2022-05-01,2022-05-02,1,RT1,"direct online",4.0,"Checked Out",9100,9100
May012216560RT21,16560,2022-04-10,2022-05-01,2022-05-03,2,RT2,others,3.0,"Checked Out",12600,12600
May012216560RT22,16560,2022-04-07,2022-05-01,2022-05-02,2,RT2,others,3.0,"Checked Out",12600,12600
May012216560RT23,16560,2022-04-29,2022-05-01,2022-05-02,1,RT2,tripster,,"Checked Out",12600,12600
May012216560RT26,16560,2022-04-30,2022-05-01,2022-05-07,4,RT2,others,,"Checked Out",15120,15120
May012216560RT27,16560,2022-04-27,2022-05-01,2022-05-04,1,RT2,makeyourtrip,2.0,"Checked Out",12600,12600
May012216560RT28,16560,2022-05-01,2022-05-01,2022-05-02,3,RT2,tripster,3.0,"Checked Out",13860,13860
